golden_id,case_id,root_tweet_id,customer_id,created_at,turn_count,initial_customer_message,intent,confidence,notes
GOLD_012,TESCO_1789946,1789946,537674,Thu Oct 12 19:26:44 +0000 2017,2,But in @Tesco Apple Pay is still limited to £30. Such a shame. No limit at @Morrisons I’m pleased to say :-) https://t.co/7sb1KkGWvS,pricing_offers,high,
GOLD_013,TESCO_2826873,2826873,787405,Mon Nov 27 10:50:48 +0000 2017,3,@Tesco Thanks,other,high,
GOLD_014,TESCO_654769,654769,275756,Mon Nov 20 09:33:11 +0000 2017,5,"@Tesco All of your pigs in blankets so far this year have wheat, very disappointing as the gluten free range was great last year!",product_information,high,
GOLD_015,TESCO_1440495,1440495,454286,Thu Nov 02 14:39:51 +0000 2017,2,We have been down @Tesco today with the South Yorkshire Police Cadets collecting food #CAP #homelessness https://t.co/ENEKtgKhIw,other,high,
GOLD_016,TESCO_583102,583102,257509,Sun Dec 03 11:53:26 +0000 2017,4,Who did this @Tesco https://t.co/zOiojg6aE3,other,low,
GOLD_017,TESCO_680862,680862,282471,Thu Nov 23 08:18:54 +0000 2017,2,@Tesco why have I been charged a random £2.00 for the Delivery Saver Plan? 🤔,pricing_offers,high,
GOLD_018,TESCO_1349929,1349929,434800,Mon Oct 16 13:50:09 +0000 2017,2,"@Tesco left tesco at the end of august and im owed around £80/90, who can I speak to",store_service_complaint,low,
GOLD_019,TESCO_2193006,2193006,337911,Thu Nov 09 18:38:07 +0000 2017,3,Why can’t @tesco just stop putting reduced stickers over cooking instructions 😩 how long I’m I supposed to have this oven ???? https://t.co/eRxuRVC2t4,product_information,medium,
GOLD_020,TESCO_2828368,2828368,787718,Mon Nov 27 01:54:13 +0000 2017,2,@Tesco when will tesco at Trinity square Gateshead be open 😩,store_service_complaint,high,
GOLD_021,TESCO_1920663,1920663,122859,Thu Oct 26 15:35:14 +0000 2017,2,@Tesco perhaps you are naughty for having these early perhaps im worse for eating it but it was so good. https://t.co/1rTANOQ3vL,other,high,
GOLD_022,TESCO_2654060,2654060,748394,Sat Nov 18 23:22:13 +0000 2017,4,Disgusted that @Tesco staff are swearing around customers. Very #unprofessional and I had a 5 year old with me. #Dereham #FWord,store_service_complaint,high,
GOLD_023,TESCO_2227327,2227327,650147,Thu Oct 19 14:40:45 +0000 2017,3,@Tesco How can I reprint my pizza express voucher bought with clubcard as lost original?,clubcard_account,high,
GOLD_024,TESCO_1769474,1769474,132584,Tue Nov 07 16:48:30 +0000 2017,15,College’s beef pasta bake reminds me why I shop at @Tesco. #EveryLittleHelps,other,high,
GOLD_025,TESCO_1425720,1425720,405030,Thu Nov 02 04:33:51 +0000 2017,4,@Tesco That's great.  Thank you for getting back to me and for being patient with my nagging about the shopping lists 😊,other,high,
GOLD_026,TESCO_2312730,2312730,670684,Sun Nov 26 14:34:15 +0000 2017,3,@Tesco why does the Blackpool store always smell like a sewer?,store_service_complaint,high,
GOLD_027,TESCO_2200972,2200972,116303,Sun Nov 26 00:31:19 +0000 2017,2,@Tesco am I right in saying delivery is only happening on 24th Dec around Fulfillment Centres? Mainly London? I've booked for 23rd hoping 24th isn't happening in nottm.,delivery_slots,medium,
GOLD_028,TESCO_2000866,2000866,410175,Wed Oct 18 17:21:53 +0000 2017,4,hey @Tesco why no courgettes for online customers been trying for three weeks. Am now looking at @sainsburys and they have them may switch,product_availability,high,
GOLD_029,TESCO_2120341,2120341,624788,Wed Nov 08 14:38:09 +0000 2017,2,I just got told off for putting the Christmas radio station on at work #bahhumbug,other,high,
GOLD_030,TESCO_48062,48062,126747,Thu Nov 02 16:35:04 +0000 2017,7,"@Tesco I could have taken it back to store for a refund, I’m honestly not after a refund but lately this keeps happening, Brown onion last week!",product_quality_safety,high,
GOLD_031,TESCO_2200927,2200927,311833,Sun Nov 26 07:14:42 +0000 2017,2,@Tesco if it had been clear taking the delivery free trial excluded me from the Christmas priority booking I wouldn't have taken you up on it.,delivery_slots,high,
GOLD_032,TESCO_1804510,1804510,542188,Fri Oct 13 16:53:59 +0000 2017,3,"@Tesco Just to let you know I feel your Padiham Tesco staff deserve a few little bonuses due to being so friendly! Pharmacy, cashiers etc 😁",other,high,
GOLD_033,TESCO_700836,700836,287276,Thu Nov 23 15:50:21 +0000 2017,2,@Tesco just cancelled all my plans and Dd's with you due to some shocking customer service at your Crewe store..truly awful 😡,store_service_complaint,high,
GOLD_034,TESCO_654784,654784,275760,Wed Nov 22 20:45:39 +0000 2017,5,"@Tesco Hi there, I noticed you've discontinued selling Oatly Barista Foamable, will you be restocking it or do I need to continue shopping elsewhere?",product_availability,high,
GOLD_035,TESCO_1131509,1131509,386655,Tue Oct 24 11:23:35 +0000 2017,7,@Tesco Shocking when you go in sittingbourne Tesco and purchase out of date chicken!!!!!,product_quality_safety,high,
GOLD_036,TESCO_1684664,1684664,361550,Mon Nov 06 14:31:18 +0000 2017,3,"@Tesco is the new #Christmas menu deal out? looks like last years, but my fiancée and myself were not keen on the Pudding.",product_information,medium,
GOLD_037,TESCO_2653994,2653994,748379,Sat Nov 18 22:20:05 +0000 2017,9,"@Tesco Had some of your wonderful salmon tonight. Source Scotland great. Downside skin on, not a problem I like the skin oh no wait it hasn't been scaled or pin boned. Question do you charge for the weight of the bones and scales?
Yours sincerely
A concerned chef",product_information,high,
GOLD_038,TESCO_1604839,1604839,492325,Mon Nov 06 14:07:08 +0000 2017,3,"@Tesco the cal content per sachet of your ""easy oats, blueberry &amp; apple"" is that before milk is added? or per made up sachet? its not clear!",product_information,high,
GOLD_039,TESCO_2220634,2220634,648581,Fri Nov 10 11:07:04 +0000 2017,7,"@Tesco Hi, per 100g the asda chicken thigh fillets has 27g protein, sainsburys has 26.2g, but tesco ones only have 18.3g, i normally do my shop in tesco but have to buy chicken thighs elsewhere, my email is __email__, i can email my details, rather not post online",product_information,high,
GOLD_040,TESCO_1426813,1426813,150799,Thu Nov 02 05:07:11 +0000 2017,2,@Tesco I’m having issues with the milk I’m receiving. Dated tomorrow but it smells off so can’t be used. https://t.co/DielTA9VHf,product_quality_safety,high,
GOLD_041,TESCO_1120786,1120786,311568,Sun Oct 15 09:44:41 +0000 2017,2,I think @Tesco need to look up what the word 'Retro' means. https://t.co/he0xrqIzvK,other,low,
GOLD_042,TESCO_147435,147435,149511,Fri Nov 24 13:56:04 +0000 2017,2,@Tesco where do I make a complaint about your delivery drivers?,store_service_complaint,high,
GOLD_043,TESCO_917136,917136,337734,Fri Oct 20 19:51:52 +0000 2017,2,Vote for Ash Tree in the Castleford and Pontefract Tesco stores with your blue token please #everylittlehelps https://t.co/wGH6PociYx,other,high,
GOLD_044,TESCO_1440735,1440735,454331,Thu Nov 02 11:36:48 +0000 2017,3,Hi @Tesco I just swapped my clubcard points for vouchers which @53711 won't let me use :( can I return them?,clubcard_account,high,
GOLD_045,TESCO_2505670,2505670,714496,Sun Nov 19 17:14:50 +0000 2017,8,@Tesco Not good enough. Government charges 5p bag. By not offering basic bag you are profiteering. This is robbing your customers. Therefore I won’t return until this decision (and software) is reversed.,store_service_complaint,high,
GOLD_046,TESCO_2084618,2084618,616494,Tue Nov 07 21:13:47 +0000 2017,2,"@Tesco loving the new grocery online shopping website, so much easier! 😀",other,high,
GOLD_047,TESCO_1628639,1628639,498560,Sun Nov 05 15:04:00 +0000 2017,2,"Why is it, every time I buy a pasta bake from @Tesco it only has 1 days date on it. 
Purchased Friday evening
Bined this afternoon 😠",product_quality_safety,high,
GOLD_048,TESCO_761670,761670,301984,Wed Oct 11 20:06:46 +0000 2017,3,Hi @Tesco  I got over charged for 2 items I bought today in store. Haven't got time to go back to store... how can I get a refund???,refund_return_compensation,high,
GOLD_049,TESCO_14361,14361,119067,Tue Oct 31 19:48:32 +0000 2017,2,@Tesco thanks for the lovely apples I just received in my home delivery! https://t.co/SK9l69b5Wc,other,high,
GOLD_050,TESCO_1940950,1940950,577225,Sun Oct 29 17:17:54 +0000 2017,2,Nice to see a full tray of out-of-date yoghurts on the shelves at Brixton Road @Tesco #areyoumakingcheese? https://t.co/6UXtSRu5zJ,product_quality_safety,high,
GOLD_051,TESCO_1619678,1619678,484818,Sun Nov 05 16:14:13 +0000 2017,2,How freaking cute are these Christmas cards I picked up from @Tesco 💫💫 https://t.co/Un0ZZr2QkS,other,high,
GOLD_052,TESCO_1891708,1891708,564089,Wed Oct 18 10:42:34 +0000 2017,2,@Tesco anyone else been scolded by one of these? The seal has come loose in the soup. Keeps it bloody warm though 😢 https://t.co/ZLASBSP5BZ,product_quality_safety,high,
GOLD_053,TESCO_2329670,2329670,674527,Fri Oct 20 00:58:45 +0000 2017,4,"@Tesco my grocery order is now 2 hours 40 mins late and I can't get hold of anyone, is this a joke???",delivery_issue,high,
GOLD_054,TESCO_1926743,1926743,573408,Fri Oct 27 13:59:47 +0000 2017,3,"@Tesco Do you no longer offer the live chat as a way to contact Tesco direct? It's on the page but can't click it, just text with no link.",online_website_issue,high,
GOLD_055,TESCO_554257,554257,249330,Sat Dec 02 11:14:14 +0000 2017,2,"Have to ask @Tesco - why, when your driver failed to deliver because he couldn't find my house and I called and cancelled the order since you couldn't reschedule delivery for today... does my order status now say ""Delivered""??!!",online_order_issue,high,
GOLD_056,TESCO_2407386,2407386,692326,Tue Nov 14 13:42:17 +0000 2017,5,Thanks for the nice out of date drink @Tesco @882 https://t.co/0rR2nBRK33,product_quality_safety,high,
GOLD_057,TESCO_2447814,2447814,489819,Tue Nov 14 19:36:41 +0000 2017,4,@Tesco Why is your petrol station in Trowbridge closed this evening?,store_service_complaint,high,
GOLD_058,TESCO_1677201,1677201,510170,Mon Nov 06 12:03:59 +0000 2017,13,My local @Tesco have stopped selling individual packets of @146822 sensations 😔 Please kiss and make up guys? The struggle is real.,product_availability,high,
GOLD_059,TESCO_1650305,1650305,504078,Sun Nov 05 16:02:13 +0000 2017,3,@Tesco Please say you're bringing the list functionality back to the grocery website? You've got rid of the best feature!,online_website_issue,high,
GOLD_060,TESCO_2273663,2273663,151484,Sat Nov 11 11:50:23 +0000 2017,2,@Tesco if I Exchange my club vouchers for pizza of cineworld how long do the exchanges vouchers last for ??,clubcard_account,high,
GOLD_061,TESCO_2162144,2162144,323143,Thu Nov 09 02:45:27 +0000 2017,4,Could you do me a small favour @Tesco ? Could you check whether Ayr Express branch stocks any salad dressings (non-chilled)? 😏,product_availability,high,
GOLD_062,TESCO_875383,875383,327837,Fri Oct 20 17:01:34 +0000 2017,5,".@Tesco smashing having no duck in my hoisin duck wraps 🙄, might as well have spent the extra 10p and got the 2 with a meal deal. https://t.co/hna48U8vyP",product_quality_safety,high,
GOLD_063,TESCO_1147194,1147194,390002,Tue Oct 24 14:12:56 +0000 2017,2,"Brought a meal deal, opened the packet of crisps which Stink and check the date.... 2013 ARE YOU SERIOUS @Tesco I feel sick. https://t.co/S4zQ93ZoEp",product_quality_safety,high,
GOLD_064,TESCO_2934771,2934771,811453,Wed Nov 29 08:06:09 +0000 2017,4,"@Tesco your turkey and trimmings sandwich, just had turkey spinach and cranberry inside. Where's the bacon and stuffing at",product_quality_safety,high,
GOLD_065,TESCO_2879094,2879094,799069,Mon Nov 27 20:37:13 +0000 2017,2,A step too far @122232 You have delivered my CHEST FREEZER from @Tesco to a neighbour. IT’S NOT A FREAKIN’ BOOK FROM #AMAZON #DPD #FAIL,online_order_issue,high,
GOLD_066,TESCO_1965114,1965114,582532,Mon Oct 30 22:21:57 +0000 2017,5,@Tesco I’ve just found a caterpillar boiling in my broccoli! #caterpillargate https://t.co/VGdrZeIOvB,product_quality_safety,high,
GOLD_067,TESCO_582260,582260,257250,Sun Dec 03 07:29:44 +0000 2017,2,@Tesco Trying to book collect in store for Saturday 22nd Dec - showing as non available - surely they can't all be booked up already?! Thanks!,click_collect,high,
GOLD_068,TESCO_156915,156915,152037,Fri Nov 24 17:28:07 +0000 2017,4,@Tesco meal deal at prestwick 🤔 https://t.co/JfUGyfJrEX,other,low,
GOLD_069,TESCO_584201,584201,257837,Sun Dec 03 11:07:50 +0000 2017,4,@Tesco please use staff with a better attitude and are willing to help you and if you send vouchers out please make sure they work. Thanks,store_service_complaint,medium,
GOLD_070,TESCO_477168,477168,173821,Fri Dec 01 10:12:15 +0000 2017,2,"@123088 @Tesco you may want to say thanks to your Connor Talmage, judging by all these comments (I'm not his Mum btw 😉) https://t.co/NE5pZFSUdx",other,high,
GOLD_071,TESCO_1391092,1391092,443550,Sat Oct 28 11:20:05 +0000 2017,3,"@Tesco not bothered about carrier bags, but have you also got rid of baskets? Not a single 1 to be found #hopeless",store_service_complaint,high,
GOLD_072,TESCO_1342908,1342908,433201,Fri Oct 27 14:26:38 +0000 2017,5,"@Tesco hi, your Colney Hatch branch in north London doesn't sell Challah bread. I was told that ""no one bought it"" when they did sell it.",product_availability,high,
GOLD_073,TESCO_1884748,1884748,457739,Mon Oct 23 08:24:26 +0000 2017,3,@Tesco Thank you. I took some reciepts in to store to add the points on yesterday so hopefully they will all be updated very soon :),clubcard_account,high,
GOLD_074,TESCO_2724722,2724722,764203,Mon Nov 20 12:26:31 +0000 2017,2,"We've had our ups and down @Tesco, but your 'Tesco Finest Somerset Vintage Cheddar' blows the lid off my kettle.",other,high,
GOLD_075,TESCO_55198,55198,128520,Wed Nov 01 18:21:29 +0000 2017,5,Just opened a box of 48 #jaffacakes from @Tesco to find only 3 cartons not 4. #outrage,product_quality_safety,medium,
GOLD_076,TESCO_1476563,1476563,462814,Thu Nov 02 21:53:37 +0000 2017,2,@Tesco I was wondering if any stores in Cambridge will be doing a midnight launch of COD WW2 ??? :),product_availability,high,
GOLD_077,TESCO_485570,485570,230522,Fri Dec 01 12:49:28 +0000 2017,4,@Tesco Website not working for online grocery shopping. No slots avaliable ever ! Yes I have followed instructions to re enter my details. Still not working,online_website_issue,high,
GOLD_078,TESCO_2663079,2663079,127751,Mon Oct 30 21:37:10 +0000 2017,4,@Tesco Have any of your stores in South Oxfordshire still got pumpkins? We're getting pretty desperate!,product_availability,high,
GOLD_079,TESCO_1899133,1899133,565997,Mon Oct 23 19:06:55 +0000 2017,2,"P2 had a great trip @Tesco 
#PracticalLearning
#ThanksForHavingUs 
#StjohnsISwhereitsat https://t.co/awibWyyV50",other,high,
GOLD_080,TESCO_1959863,1959863,581350,Mon Oct 30 19:34:02 +0000 2017,6,@Tesco picked this up today..... 😷 https://t.co/eAwVeePp9A,product_quality_safety,low,
GOLD_081,TESCO_2972091,2972091,207656,Thu Nov 30 01:21:05 +0000 2017,2,"Late. Again. @Tesco 
Not even a warning text.",delivery_issue,high,
GOLD_082,TESCO_1489509,1489509,386555,Fri Nov 03 08:08:00 +0000 2017,8,"Is this what in date coconut milk meant to look like @Tesco? Bought from the Cambridge store, Newmarket road. #unhappycustomer https://t.co/FsE89v3ejv",product_quality_safety,high,
GOLD_083,TESCO_2492710,2492710,711615,Wed Nov 15 14:22:56 +0000 2017,2,"@Tesco Will you be repeating the 3 for 2 toy promotion that you offered last Christmas? If so, when will it begin?",pricing_offers,high,
GOLD_084,TESCO_1184087,1184087,398433,Tue Oct 24 21:30:45 +0000 2017,4,"@Tesco my shop was mean to be here half an hour ago, tried to ring the store and got hung up on, where is itttt",delivery_issue,high,
GOLD_085,TESCO_1364554,1364554,437710,Mon Oct 16 13:17:00 +0000 2017,8,@Tesco why does Tesco no longer offer 5p bags? Is this a tactic to pay off debt? Taking advantage of customers?,store_service_complaint,high,
GOLD_086,TESCO_1844785,1844785,552653,Wed Oct 18 07:02:29 +0000 2017,4,Slow cookers on for my first stew of Autumn! So excited 😁🍲#ComfortFood,other,high,
GOLD_087,TESCO_1694018,1694018,514052,Mon Nov 06 16:45:13 +0000 2017,6,@Tesco Oh dear @Tesco its still there today! https://t.co/Q2EVLWvyth,store_service_complaint,medium,
GOLD_088,TESCO_1531428,1531428,475088,Fri Nov 03 19:47:39 +0000 2017,5,I see your delivery drivers are still breaking the law @Tesco sitting for 25 minutes outside residential property's with the engine running,store_service_complaint,high,
GOLD_089,TESCO_947964,947964,337763,Sat Oct 21 17:22:24 +0000 2017,2,"Amazing, kick off a bit about strudel price at @Tesco in Well St and today the price is back to what it used to be!!! Well done #Tesco👍 😏",pricing_offers,high,
GOLD_090,TESCO_2736870,2736870,623000,Mon Nov 20 18:12:46 +0000 2017,2,@Tesco have these been made smaller? https://t.co/0t9JevNBkX,pricing_offers,medium,
GOLD_091,TESCO_1034591,1034591,364747,Sat Nov 25 10:16:25 +0000 2017,6,@Tesco found this little treat whilst tucking in to my fruit pot this morning 🙁 definitely not mine as I’m blonde.. 🧐 https://t.co/s2ekNXCt5o,product_quality_safety,high,
GOLD_092,TESCO_1935282,1935282,575778,Sat Oct 28 20:58:00 +0000 2017,3,@Tesco your clubcard site isn't working to let me use my vouchers for a day out?? Any ideas?,clubcard_account,high,
GOLD_093,TESCO_2885396,2885396,182393,Tue Nov 28 09:20:16 +0000 2017,2,@Tesco I haven’t got my coupons yet,clubcard_account,high,
GOLD_094,TESCO_673362,673362,280617,Thu Nov 23 09:38:37 +0000 2017,2,Oh @Tesco I thought it was just me that hated your #candycane crisps... turns out the whole office does too 😷😷 they’re bloody awful! A for effort E for taste - sorry!,other,high,
GOLD_095,TESCO_866341,866341,325708,Fri Oct 13 13:23:10 +0000 2017,2,"@Tesco really liking your new craft beer range.
Any chance of having a good strong Russian imperial stout on your shelves in time for Xmas?",product_availability,high,
GOLD_096,TESCO_1789149,1789149,537443,Thu Oct 12 17:32:50 +0000 2017,2,"@Tesco Is there a way of adding the Pay + app to my Apple Wallet, like you can with the Clubcard app for access? Else seems abit pointless.",clubcard_account,medium,
GOLD_097,TESCO_1680201,1680201,510925,Mon Nov 06 14:41:41 +0000 2017,4,"@Tesco this happens every time to finest soup, pls make a lid that works properly!! #shitlid https://t.co/XPlOqoQSG7",product_quality_safety,high,
GOLD_098,TESCO_2748563,2748563,327167,Mon Nov 20 19:44:09 +0000 2017,2,"@Tesco this came with my online shop today, what should I do? x https://t.co/dn0IDhACYn",product_quality_safety,low,
GOLD_099,TESCO_1388563,1388563,443038,Fri Oct 27 09:07:24 +0000 2017,6,Bought some ski mousse this Wednesday from @Tesco only to find out the expiry date was 22/10 - somebody’s not doing their job properly!,product_quality_safety,high,
GOLD_100,TESCO_2736887,2736887,442001,Mon Nov 20 18:48:24 +0000 2017,6,Can @Tesco please explain this receipt? What is going on? How do I know the total amount is correct when anything under £1 is marked as 0? #confused https://t.co/JZhhq7OWwT,pricing_offers,medium,
GOLD_101,TESCO_1202980,1202980,402616,Wed Oct 25 11:13:17 +0000 2017,5,"@Tesco absolutely disgusting, opened a pistachio to find it part rotten and a maggot inside. Won't be buying from you again https://t.co/TsRaIDTV0F",product_quality_safety,high,
GOLD_102,TESCO_2570485,2570485,371783,Mon Oct 30 14:29:40 +0000 2017,2,"@Tesco trolley escaped to Montague Medical Practice, Fifth Avenue, Goole (Saint Andrews Court)/Reed Court) https://t.co/OL9WeXT2Pf",store_service_complaint,medium,
GOLD_103,TESCO_645152,645152,273131,Wed Nov 22 17:46:00 +0000 2017,2,"hi, @Tesco - your smoked bacon lardons are more water than lardon

please stop",product_quality_safety,high,
GOLD_104,TESCO_2447784,2447784,555173,Tue Nov 14 21:45:11 +0000 2017,6,"Yo @Tesco your Groceries app is broken. It insists there's an available update that I have to install, but Google Play isn't finding an update, so I can't use the Groceries app. This check is stupid. https://t.co/iSZlvV9DLw",online_website_issue,high,
GOLD_105,TESCO_1986798,1986798,588110,Thu Nov 02 12:10:58 +0000 2017,3,I hope @Tesco manage to get my @115766 WW2 delivered on time says despatched location Tesco supplier warehouse what does this mean,online_order_issue,medium,
GOLD_106,TESCO_2883782,2883782,244222,Mon Nov 27 23:31:37 +0000 2017,3,My £3.15 bargain bunches of roses from @Tesco at 9:30pm. I also got poinsettias for 45p each &amp; I only popped in for milk on my way to pick my daughter up from work. https://t.co/WOnC0Lszsv,other,high,
GOLD_107,TESCO_941608,941608,343227,Sat Oct 21 14:45:13 +0000 2017,2,Well played @Tesco. Very well played 👌🏻 https://t.co/2sw1lrLYEW,other,high,
GOLD_108,TESCO_1235721,1235721,409826,Wed Oct 25 16:36:20 +0000 2017,6,@Tesco confined - in the them. Disgusting and totally unacceptable,other,low,
GOLD_109,TESCO_1965812,1965812,582679,Tue Oct 31 07:51:14 +0000 2017,5,Erm... are these honey nut clusters or crumbs? @Tesco https://t.co/iK9EHyIlV8,product_quality_safety,medium,
GOLD_110,TESCO_2883779,2883779,773127,Mon Nov 27 23:00:45 +0000 2017,2,@AldiUK @Tesco @sainsburys @Morrisons @117249 any chance you can ditch the plastic packaging for fruit &amp; veg? Just no need. https://t.co/bTPcgMhUXs,other,high,
GOLD_111,TESCO_529249,529249,170164,Sat Dec 02 08:10:48 +0000 2017,4,@Tesco hello can you see if Tesco havant has any PlayStation vr in stock and current price cheers,product_availability,high,
GOLD_112,TESCO_535361,535361,228147,Sat Dec 02 10:45:36 +0000 2017,2,"@tesco Your Lincoln mobile phone department - seriously?! Just 2 staff. On a Saturday. What is more, they couldn’t look less interested.",store_service_complaint,high,
GOLD_113,TESCO_2808539,2808539,783267,Tue Nov 21 23:28:58 +0000 2017,3,"@Tesco absolutely appalled with how management dealt with a customer at Saville Street Tesco, Sheffield. https://t.co/TZNTwwoUfX",store_service_complaint,high,
GOLD_114,TESCO_2572825,2572825,729652,Thu Nov 16 19:58:59 +0000 2017,4,@Tesco has this been discontinued?!?! I bloody love it and can’t find it anywhere 😳 #teriyakitantrum https://t.co/E7nlopXixm,product_availability,high,
GOLD_115,TESCO_277480,277480,182285,Mon Oct 30 18:47:59 +0000 2017,4,"Hi @Tesco , why is my avocado like this? Only bought it today 😬 https://t.co/cCdpdCpNGm",product_quality_safety,high,
GOLD_116,TESCO_2120344,2120344,598399,Wed Nov 08 13:34:17 +0000 2017,4,@Tesco when are you getting more of item 367-9205 (leggings)?,product_availability,high,
GOLD_117,TESCO_2880984,2880984,799430,Mon Nov 27 21:37:38 +0000 2017,3,Found a caterpillar in my lettuce🐛 @Tesco imagine if I was a vegetarian and ate that!😂😂 https://t.co/VdnJ7l0BIo,product_quality_safety,high,
GOLD_118,TESCO_936017,936017,341905,Sat Oct 21 15:56:26 +0000 2017,3,"@Tesco @123088 Hi. How to transfer my @138855 points from my membership account, to my #britishairways account? #help #support",clubcard_account,high,
GOLD_119,TESCO_2220543,2220543,648562,Fri Nov 10 09:37:19 +0000 2017,5,Haven't even had this mug a week.. put it in the dishwasher and this happens!!! 😔 #gutted #NOTdishwashersafe @Tesco https://t.co/1zmnnpyYfL,product_quality_safety,high,
GOLD_120,TESCO_1738005,1738005,524614,Mon Nov 06 22:45:46 +0000 2017,4,"You have to be kidding me @Tesco !! £8.50 paid by £20 note,self scan till &amp; I get £10 note, 2 20p's &amp; TEN 1p's!!?! https://t.co/MZxBSsZ2Dn",pricing_offers,high,
GOLD_121,TESCO_143066,143066,148307,Fri Nov 24 12:54:24 +0000 2017,2,@Tesco Appalled by inhumane treatment of heavily pregnant Big Issue seller outside West Dulwich store. You won’t let her sit down. WHY?! Sort it out.,store_service_complaint,high,
GOLD_122,TESCO_2392854,2392854,689040,Tue Nov 14 06:47:06 +0000 2017,2,@Tesco these veg samosas were delivered Sunday afternoon with bbd 20/11/17. Inedible as they are covered in white mould! https://t.co/sEyDlS5GMi,product_quality_safety,high,
GOLD_123,TESCO_2469598,2469598,706459,Mon Nov 20 10:31:52 +0000 2017,4,"@Tesco Hi, it was on the chiller shelf. It's an express branch in white city place. Terrible store overall. If a shelf isn't empty, it's got out of date stuff on it.",store_service_complaint,high,
GOLD_124,TESCO_2954737,2954737,815724,Wed Nov 29 18:17:36 +0000 2017,2,"The Horsham District foodbank will be collecting food donations this Friday and Saturday between 9am and 5pm @Tesco in Broadbridge Heath. Please come and donate if you are able!
#everycanhelps https://t.co/uF1xtWnjeN",other,high,
GOLD_125,TESCO_1025004,1025004,362540,Mon Oct 16 06:33:41 +0000 2017,12,@Tesco Thanks.  I’ve ordered new ones through the mobile apps.,other,high,
GOLD_126,TESCO_572697,572697,254574,Sat Dec 02 21:03:17 +0000 2017,2,@Tesco we followed all of ur steps and the cake turned out like this? Is this how it’s meant to look? https://t.co/mIbq3YbqUM,product_quality_safety,high,
GOLD_127,TESCO_2742157,2742157,768129,Mon Nov 20 14:21:29 +0000 2017,7,". @tesco Please once again also make it possible to navigate products by heading, and let me know who to contact in the Web Accessibility team, thank you. https://t.co/4Xlst2OE8o",online_website_issue,high,
GOLD_128,TESCO_1043316,1043316,366715,Mon Oct 23 09:15:10 +0000 2017,4,"@Tesco i will be doing it at the weekend, thank you",other,high,
GOLD_129,TESCO_2824383,2824383,221982,Mon Nov 27 09:21:56 +0000 2017,2,Can I get a reply @Tesco https://t.co/VqHsJkK5w2,other,high,
GOLD_130,TESCO_2642847,2642847,745743,Mon Oct 30 18:10:39 +0000 2017,2,"@Tesco When you know you won't make a confirmed and expected delivery, why no employ good manners and good practice and inform the customer?",delivery_issue,high,
GOLD_131,TESCO_42702,42702,125444,Wed Nov 01 13:33:36 +0000 2017,6,Bought crisps from @Tesco last week that went out of date on 30th sept!!!! 😳 yuk!,product_quality_safety,high,
GOLD_132,TESCO_1138429,1138429,388151,Sat Oct 14 19:21:56 +0000 2017,6,@Tesco bought these apples today. Unopened pack and the middle one is mouldy https://t.co/SAdefqMt5R,product_quality_safety,high,
GOLD_133,TESCO_605524,605524,244231,Fri Nov 17 13:29:49 +0000 2017,4,"@Tesco Hi, have you had any luck finding out yet? X",other,high,
